unnamed:_0,job_title,company_name,industry,location,employment_type,salary_range,job_description,required_skills,key_skills,preffered_skills,experience_level,experience_required,language,education,application_link,posting_date,deadline,language_of_posting
11,Travel Technology Business Analyst,Bcd Travel,,Denmark/ virtual,Full Time,,"Analyze Solutions by
Meeting with operations and key contacts
Determining if the request conflicts with existing standards
Performing GDS hit/scan evaluation for the desired solution
Creating detailed requirements for development or configuration
Providing development team with requirements in JIRAs format
Assisting with elements required for design and programming (i.e.: PNRs, profiles)
Meeting with designers and developers to ensure design understanding
 
Schedule and manage deliverables to fulfill project scope by
Evaluating requirements for given requests and assisting with timeline and priority
Articulating opportunities and risks
Facilitating involvement of other BCD Travel departments to achieve goals
 
Focus on Documentation, including
Assisting in maintaining confluence or process flows where needed
Assisting in documenting solutions in release notes
Proactive review and update of product roadmap, project plan, and business case
Participating in logs for project work","Strong problem-solving and process reengineering skills 
Ability to handle medium and high-risk projects/accounts 
Extensive travel reservations & process experience 
Good command of English 
Experience working in any of the GDSs
Programming experience using GDS or non-industry languages (VB, JAVA, .net) ","Strong problem-solving and process reengineering skills 
Ability to handle medium and high-risk projects/accounts 
Extensive travel reservations & process experience 
Good command of English 
Experience working in any of the GDSs
Programming experience using GDS or non-industry languages (VB, JAVA, .net) ",,,,English,,https://jobs.bcdtravel.com/job/Travel-Technology-Business-Analyst/797684602/,N/A,18/08/2024,English
12,Qhse Supplier Performance Analyst,Orsted,,Copenhagen,Full Time,,"establishing and managing the QHSE Supplier Performance Management System
ensuring timely reporting to business stakeholders ensuring risk is effectively communicated with supporting data
supporting colleagues in generating the necessary background information for developing supplier improvement plans
investigating innovative ideas for capturing, storing. and disseminating supplier QHSE performance data
working with the business performance management teams to ensure supplier QHSE data is reflected in our established KPI landscape.","have strong working knowledge in QHSE performance management, incl. operational experience
have demonstrable skills in stakeholder management and communication with all levels of an organisation
have technical knowledge and skills in establishing and working with databases and reporting outputs in systems, such as PowerBI or similar
have a demonstrable ability to analyse and report data for driving QHSE excellence beyond reducing injury statistics and non-conformities
speak and write English fluently
preferably have experience with AI applications.",QHSE PowerBI AI applications,,,,English,,QHSE Supplier Performance Analyst,2024-08-21,,English
13,Data Engineers,Copenhagen Airports A/S (Cph),aviation services industry.,Copenhagen,Full Time,,"Develop and maintain data models (both conceptual and logical) that support business needs (Kimball)
Help define and implement best practices for data modeling and architecture
Work closely with data analysts and other stakeholders to understand their needs and ensure the data platform and deliverables support it
Ensure that the data platform meets security requirements and complies with relevant regulations
Evaluate and improve our tech stack and data deliverables so that we always have the most efficient and modern technologies and methods.","With your baggage, you probably have a relevant education and experience with one or more programming languages, such as Python, SQL, Java or others.","With your baggage, you probably have a relevant education and experience with one or more programming languages, such as Python, SQL, Java or others.",,,,,,https://www.jobteaser.com/da/job-offers/bb0103a0-791b-44b2-9cb1-fc3233ba6d40-copenhagen-airports-a-s-cph-data-engineers?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,N/A,,Danish
14,Data Visualization Specialist,Pandora,Jewery,Copenhagen,Full Time,,"Working closely with your scrum team to design efficient, stable, and to-the-point products to drive commercial business value through reporting, self-service analytics and other data communication cases 
 Creating and maintaining high-quality and high-performance PowerBI reports and semantic models 
 Taking ownership of your products and continuously tracking stability, adoption, and impact 
 Ensuring that great user experiences are at the heart of all deliverables 
 Delivering self-service solutions for end-users and training them in their usage. 
 Working with stakeholders and end-users to assist with data-related technical challenges 
 Following best practices and existing guidelines but also challenging the status quo. ","Relevant education within Computer Science, Mathematics, Economics, Information Management, Statistics, or a related field. 
 At least 2 years of experience working with BI, data preparation, and visualization. 
 Experience from a global retail organization. 
 Experience with Power BI, DAX, Analysis Services, Tabular Editor, SSMS, Databricks, Power Automate, Power Apps, and Jira. 
 Experience in working with relational data sets using SQL and Tabular models. 
 High proficiency in English and ability to communicate at all levels of technical competence. 
 Agile mindset and experience with Scrum and agile ways of working. ","Relevant education within Computer Science, Mathematics, Economics, Information Management, Statistics, or a related field. 
 At least 2 years of experience working with BI, data preparation, and visualization. 
 Experience from a global retail organization. 
 Experience with PowerBI, DAX, Analysis Services, Tabular Editor, SSMS, Databricks, Power Automate, Power Apps, and Jira. 
 Experience in working with relational data sets using SQL and Tabular models. 
 High proficiency in English and ability to communicate at all levels of technical competence. 
 Agile mindset and experience with Scrum and agile ways of working. ",,,,,,https://www.linkedin.com/jobs/view/4008851991/?alternateChannel=search&refId=IllSVOlfsDynA9QBWNrWsg%3D%3D&trackingId=LaJxwaaj2OfTp1s%2B0NojSw%3D%3D,N/A,,English
15,Junior Data Analyst (Student),Dsb,Transportation,Copenhagen,Part-time,,"Collection and reporting on KPIs
Development of dashboards together with colleagues
Assistance to top management with data information
Maintenance of master data","has extensive knowledge of Excel and can use it effectively for data processing.
has knowledge of data structures and understands the importance of correct data handling.
is familiar with or willing to learn Power Query and Power BI, which will enhance your analytical capabilities.
can express yourself clearly in both Danish and English, as communication plays a significant role in all aspects of the job.","has extensive knowledge of Excel and can use it effectively for data processing.
has knowledge of data structures and understands the importance of correct data handling.
is familiar with or willing to learn Power Query and PowerBI, which will enhance your analytical capabilities.
can express yourself clearly in both Danish and English, as communication plays a significant role in all aspects of the job.",,,,Danish/ English,,https://www.linkedin.com/jobs/view/3996436123/?alternateChannel=search&refId=IllSVOlfsDynA9QBWNrWsg%3D%3D&trackingId=9aLG9%2FYu5Y6dHGRViZmrJw%3D%3D,N/A,,Danish
16,Data Analyst/Power Bi Specialist Within Marketing Operations,Ltimindtree,Technology ,Copenhagen,Part-time,," 

Work as an IT analyst Designer , Data Modeler and Data Analyst
Minimum 10 years of experience
Strong in SQL
Understanding business requirements and converting them to IT requirements
Participating conducting meetings with business BA or framework SME to capture requirements
Performing data and object level analysis for identifying IT solution More
Ability to write SQL Queries back track data
Description of knowledge and experience
Previous experience of banking and financial regulatory framework data models would be a huge plus
Experience of data analysis and modelling
Hands on experience of advanced SQL for query execution
Experience of Scrum Agile methodologies
Ability to understand data warehouse architecture
Ability to understand business requirements and translate them into technical design for development
Ability to understand data models from both business and technical perspective Logic Physical Symantec Layer
Ability to understand technology and technical perspectives RDMS Teradata Snowflake
Understanding of regulatory frameworks such as FINREP COREP etc
Experience and knowledge of financial regulatory reporting and data attributes
Ability to communicate effectively with both business stakeholders and IT experts
Supporting testers in root cause analysis of incidents",,N/A,,,,,,https://www.linkedin.com/jobs/view/4001577777/?alternateChannel=search&refId=IllSVOlfsDynA9QBWNrWsg%3D%3D&trackingId=CXo8KcSXT%2FbfoxNK11%2BLzg%3D%3D,N/A,,English
17,Business Data Analyst,Odiin Tech,Technology ,Remote,Freelancer,,"
Experienced Data Analyst
Strong expertise with reporting and PowerBI
Background knowledge of Data Security and compliance
Good stakeholder management/business facing skills
Fluent in English",,N/A,,,,,,https://www.linkedin.com/jobs/search/?currentJobId=3977764301&distance=25&geoId=104514075&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true,N/A,,Eglish
18,Power Bi Specialist,Lundbeck,Pharma,Copenhagen,Full Time,,"Develop, publish, and schedule PowerBI reports and dashboards to meet business requirements. 
Advise the business on how to create data insights and implement best practices for data visualization and analytics. 
Collaborate with stakeholders to gather requirements and translate them into technical specifications. 
Create data models and establish connections to various data sources. 
Optimize PowerBI dashboards with a focus on usability and performance. 
Provide training and support to end-users on PowerBI tools and functionalities. 
Establish and maintain standards for PowerBI development and usage across the organization. 
Enable and promote self-service BI capabilities, empowering users to create their own reports. 
Stay updated with the latest PowerBI features and best practices. ","Proven experience as a Power BI Specialist or similar role. 
Strong proficiency in Power BI, including DAX and Power Query. 
Advanced analytical and problem-solving skills. 
Solid communication and collaboration skills. 
Capable of overseeing multiple assignments simultaneously and working on one’s own initiative. 
Advanced skills in designing user-friendly and visually appealing frontends for dashboards and reports. ","Experience with other BI tools (e.g., Qlik Cloud). 
Certification in PowerBI or related technologies. 
Experience with Power Platform tools such as Power Apps and Power Automate. 
Hands-on experience with SQL and theoretical knowledge of Kimball dimensional modeling or other data modeling techniques in the context of BI. 
Foundational knowledge of analytical engineering tools and practices such as GitHub and dbt, or other evidence of collaborating and communicating effectively with analytical or data engineering peers. ",,,,,,https://jobs.lundbeck/job/Copenhagen-Power-BI-Specialist-Dani/1113020401/?feedId=375733&utm_source=LinkedInJobPostings&utm_campaign=Lundbeck_LinkedIn,N/A,,English
19,Lead Data Analyst,Nord Group - A Genhive Partner,,Copenhagen,Employment or 6-month contract (to perm),,"Your main responsibilities will be to consolidate and harmonise, source, store and distribute Payments Data to other solutions, including. It also includes integrations supporting different End2End payment flows in our target payment architecture. You’ll engage with various stakeholders and should be an experienced, self-motivated and passionate analyst, that always seeking the best solution.","- Strong banking and payments domain knowledge
- Degree in computer science and engineering 

- Expert in SQL (Oracle, MSSQL or similar)
- Expert in data architecture, integration patterns & modelling principles
- Experience in one or more cloud platforms (AWS/Azure/Google)
- Hands on knowledge of Microservices, CI/CD, Clean Code and DDD.","- Strong banking and payments domain knowledge
- Degree in computer science and engineering 

- Expert in SQL (Oracle, MSSQL or similar)
- Expert in data architecture, integration patterns & modelling principles
- Experience in one or more cloud platforms (AWS/Azure/Google)
- Hands on knowledge of Microservices, CI/CD, Clean Code and DDD.",,,,English,,https://www.linkedin.com/jobs/search/?currentJobId=4012623475&distance=25&geoId=104514075&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true,N/A,,English
20,"Data Analyst, Commercial/Marketing",Trustpilot,,Copenhagen,,,"Delivering proficient analytics and insights to different parts of the business, through both workstream-focused initiatives and ad-hoc inquiries
Picking the right solution for the problem you’ve got, from your arsenal of analytical tools and methods
Working closely with the Commercial/Marketing or Trust teams to understand their data and their goals to deliver awesome solutions
Presenting and promoting your work to the wider business, to enable data-inform choices","Good knowledge of key analytical and statistical methodologies, such as model-based analyses (regression, clustering etc.), cohort analysis and A/B testing. as well as reporting best practices, leveraging BI tools (such as Looker, Tableau etc.)
Knowledge of reporting best practices and experience delivering actionable insights leveraging BI tools (such as Looker, Tableau etc.)
Experience in stakeholder and project management, with the knowledge to deliver results back to the business
Proficiency in R or Python, and awesome SQL skills
Familiarity with Airflow, DBT or similar tools used for building data pipelines
Advanced written and verbal communication skills","Good knowledge of key analytical and statistical methodologies, such as model-based analyses (regression, clustering etc.), cohort analysis and A/B testing. as well as reporting best practices, leveraging BI tools (such as Looker, Tableau etc.)
Knowledge of reporting best practices and experience delivering actionable insights leveraging BI tools (such as Looker, Tableau etc.)
Experience in stakeholder and project management, with the knowledge to deliver results back to the business
Proficiency in R or Python, and awesome SQL skills
Familiarity with Airflow, DBT or similar tools used for building data pipelines
Advanced written and verbal communication skills",,,,English,,https://www.linkedin.com/jobs/search/?currentJobId=3989708601&distance=25&geoId=104514075&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true,N/A,,English
21,Risk Bi/Data Analyst - Digital Assets (Eu Remote),Keyrock,,Copenhagen,,,"Using BI tools connected to Keyrock DBs and external resources to analyze our trading activities and draw actionable conclusions for our Risk Management function and Finance Department. 
Support and manage data requests from various business stakeholders – can understand business change needs and assess the impact of those changes
Managing and ensuring the proper reporting structure, internally or towards external clients if needed
Being able to generate knowledge from data (either internal or external) and present the outcome to internal and external stakeholders. ","3+ year experience; Bachelor’s degree and above in a quantitative or engineering field with professional work experience in a relevant field
Strong analytical thinking and communication skills
Experience with analysis tools such as SQL, Python, Matlab or R
Experience on DW/BI, good understanding of data warehousing and dimensional modeling
Solid experience with at least one data visualization tool (Tableau, Qlik, Grafana, PowerBI, etc.)
 Experience in working with cross-functional teams to gather requirements and ability to set work priorities
Good business sense and logical thinking. Ability to synthesize quantitative information and articulate concrete concepts to others. 
Experience with financial trading, risk and derivatives analysis will be beneficial","3+ year experience; Bachelor’s degree and above in a quantitative or engineering field with professional work experience in a relevant field
Strong analytical thinking and communication skills
Experience with analysis tools such as SQL, Python, Matlab or R
Experience on DW/BI, good understanding of data warehousing and dimensional modeling
Solid experience with at least one data visualization tool (Tableau, Qlik, Grafana, PowerBI, etc.)
 Experience in working with cross-functional teams to gather requirements and ability to set work priorities
Good business sense and logical thinking. Ability to synthesize quantitative information and articulate concrete concepts to others. 
Experience with financial trading, risk and derivatives analysis will be beneficial",,,,English,,https://jobs.ashbyhq.com/Keyrock/2507b8d3-ae95-419c-9425-25042ba00444/application?utm_source=7QLEQdJ2L6,N/A,,English
22,Senior Business Analyst Asset Management – Fee And Data Analytics,Danske Bank,Finance,Copenhagen,Full time,,"Collaborate with business areas to translate business needs into user stories, that can be understood by the team and developers.
Act as the technical sparring partner and provide domain knowledge for developers relating to change within IT applications and system functionality.
Analyse and improve business and technical processes.
Take a lead role in delivering change by planning and facilitating workshops, maintaining backlog and testing new solutions.
Optimize and oversee fee-related processes within the organization.
Improve Fee systems, and support decision-making through data-driven insights. Have the responsibility to develop and refine requirements to increase the quality and efficiency of technical solutions.","Relevant business analyst experience with a technical foundation within Asset Management
Experience with defining user stories and tasks for software developers
Solid analytical skills with the ability to collect, organize, analyse different information with attention to detail and accuracy without losing the overview
Good stakeholder management and communication skills including the ability to question when needed
Curiosity, enthusiasm for knowledge sharing, and continuous learning
Domain knowledge in fee processes, finance, and accounting is highly beneficial and will significantly contribute to the effectiveness of the role
You have great interpersonal skills and are good at explaining business or function’s needs to colleagues with a more technical background
Advanced English skills",Great interpersonal skills and are good at explaining business or function’s needs to colleagues with a more technical background,"Domain knowledge in fee processes, finance, and accounting",Senior,Relevant business analyst experience with a technical foundation within Asset Management,English,,https://ejqi.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/17544/?keyword=data&location=Denmark&locationId=300000000294904&locationLevel=country&mode=location,N/A,"
16/09/2024",English
23,Senior Strategy Analyst,Danske Comodities A/S,Energy,Aarhus,Full time,,"conduct market research for corporate-level strategy work and underpin strategic decision making with market intelligence
build strategic bridges to our parent company Equinor and identify commercial opportunities for shared value-creation
act as strategic advisor on various strategy topics, including must-win projects, commercial deep-dives and operating models
understand and evaluate business performance with the Finance team
strengthen the company’s external positioning with commercial and analytical insights","have 3-5 years of experience from a similar position, alternatively from management consulting or the financial sector
have great communication skills as we work with many different internal and external stakeholders
have industry experience, e.g. from energy trading or financial markets"," experience from a similar position, alternatively from management consulting or the financial sector
have great communication skills as we work with many different internal and external stakeholders",communication skills.  ,3-5 years of experience from a similar position,industry experience.,English,"a relevant master’s degree in Finance, Economics, Business or similar",https://www.jobindex.dk/c?t=h1496610&ctx=w&abtestid=3516054668--b44be08830a1579692643031ebe43f608ac46ff8,2024-08-30,20/09/2024,English
24,Business Analyst For Crm Analytics,Danske Bank,Finance,Copenhagen,Full time,,"Your primary role will be to set up and execute CRM campaigns for customers at Danske Bank DK. Besides that, you will be responsible for doing customer related analysis that is necessary to make sure we communicate to the right customers, with the right messages at the right time. You will be working with our marketing automation tool; SAS 360 and in SAS Enterprise Guide.","Experience with marketing automation platforms and setting up communication flows
Experience with SAS or SQL programming paired with a solid analytical and mathematical mindset
An educational background in a relevant field, preferably from a university
A drive to succeed but are not afraid of failing
Great English language skills ",SAS or SQL ," have been working with many stakeholders, reported to management and has been a driver of change.",,Experience with marketing automation platforms and setting up communication flows Experience with SAS or SQL programming,English,"An educational background in a relevant field,",https://ejqi.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/preview/17632/?keyword=data&location=Denmark&locationId=300000000294904&locationLevel=country&mode=location,2024-08-26,08/09/2024,English
25,Bussiness Analyst,Verisure,Security,Glostrup,Full time,,"Build and structure data in SQL
Prepare and maintain reports in PowerBI
Define and develop measures
Analyze and translate data into commercial actions
Provide support and participate in various projects within the organization
Process optimization/automation





","data-driven and motivated by working with data and analyses.
You have a long or medium-length higher education (e.g., a master's degree in business administration or similar).
You have experience in preparing commercial analyses in Excel and maintaining and developing Power BI reports.
You are either newly graduated or have a couple of years of experience in a similar position.
Your approach is analytical, and you can communicate complex data in an understandable way.
It is a requirement for employment that you can provide a clean criminal record.





","SQL, Excel, PowerBI","It is crucial that you are proactive and thrive on optimizing processes, and you find it natural to challenge the business with alternative solutions. At the same time, you are structured and good at focusing on details.",either newly graduated or have a couple of years of experience in a similar position,experience in preparing commercial analyses in Excel and maintaining and developing Power BI reports,Danish,"have a long or medium-length higher education (e.g., a master's degree in business administration or similar).",https://www.jobindex.dk/c?t=h1495551&ctx=w&abtestid=3516054669--f774d13ee777aa3900d563da1123528248a34019,2024-08-28,,Danish
26,Business Analyst,Jack & Jones,Fashion,Brande,Full time,,"Creating action plans to reach targets and budgets.
Following up on targets and budgets.
Collaborating and supporting the countries to make sure daily, weekly and monthly business is running.
Preparation for meetings - online as well as in our international offices – ensuring that we present relevant data to support our stores in reaching their targets.
Prioritizing tasks to ensure the focus for the business.
Analyzing business data through existing tools   and delivering the data to the countries for even better performance.","Experience from a similar role, working with data analysis to support business decisions  
Degree in finance, economics or business
Excellent skills in Excel
Experience operating finance systems (we use SAP)
Fluent in English, both written and spoken – any German skills is considered a plus.","Excellent skills in Excel
Experience operating finance systems (we use SAP)","German skills is considered a plus, strong commercial sense",,Experience from a similar role. Experience operating finance systems (we use SAP),"English, German is a plus","Degree in finance, economics or business",https://www.jobindex.dk/c?t=h1495775&ctx=w&abtestid=3516054670--b8acf89988481601700f0afe363f3c60c6f2bc72,2024-08-28,25/09/2024,english
